trait	panel
ad	EUR
adhd2016	EUR
adhd2019	EUR
alco2018	EUR
antisocial	EUR
anx	EUR
asd2015.pgc	EUR
asd2019	EUR
bd2012	EUR
bd2018	EUR
cannabis	EUR
child.iq2014	EUR
chrono	EUR
college2013	EUR
dx.dep	EUR
dx.life.threat.ill	EUR
ed2019	EUR
edu	EUR
ever.csh	EUR
ever.sh	EUR
ever.st	EUR
insom2019	EUR
inte	EUR
life.threat.accident	EUR
mdd2013	EUR
mdd2019	EUR
mddco	EUR
neo.c	EUR
neo.o	EUR
neuroti2018	EUR
no.dep	EUR
ocd2018	EUR
pd	EUR
physical.crime	EUR
psycho.experi	EUR
ptsd2019	EUR
reac	EUR
sa.bpd.pgc	EUR
sa.ipsych	EUR
sa.scz.pgc	EUR
scz.eas2019	EAS
scz2012	EUR
scz2014	EUR
sleep.dura	EUR
smoking	EUR
st	EUR
st.dep	EUR
tense	EUR
wal.scz2018	EUR
wit.death	EUR
