ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
1,ENSG00000121410,A1BG,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ENSG00000175899,A2M,1,2,1,0,1,1,1,0,0,0.004,0,0,0.0749744493705349,0,0,0,0.02,0,0,0,0
9,ENSG00000171428,NAT1,2,1,1,1,1,1,1,0,0,0.0288,0,0,0,0,0,0,0,0,0,0,0
10,ENSG00000156006,NAT2,2,1,1,1,1,1,1,0,0,0.0592,0,0,0.0144,0,0.0144,0,0,0,0,0.0144,0
13,ENSG00000114771,AADAC,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ENSG00000127837,AAMP,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ENSG00000129673,AANAT,2,1,2,1,1,1,1,0,0,0,0,0,0.0442241111111111,0,0.0156,0,0.0144,0,0,0,0
16,ENSG00000090861,AARS,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0
18,ENSG00000183044,ABAT,2,1,2,1,2,1,1,0,0,0.0341,0,0,0.040298433106576,0,0,0,0.012,0,0,0.0458444444444444,0
19,ENSG00000165029,ABCA1,2,1,1,1,1,1,1,0,0,0.0456,0,0,0.0144,0,0,0,0,0,0,0,0
20,ENSG00000107331,ABCA2,1,1,1,1,1,1,1,0,0,0.0148,0,0,0,0,0,0,0,0.2,0,0,0
21,ENSG00000167972,ABCA3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ENSG00000131269,ABCB7,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ENSG00000204574,ABCF1,1,1,1,1,0,1,1,0,0,0.0168,0,0,0,0,0,0,0,0,0,0,0
24,ENSG00000198691,ABCA4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
25,ENSG00000097007,ABL1,2,2,2,1,2,1,1,1,0,0,0,0,0.0568888888888889,0,0,0,0,0,0,0,0
26,ENSG00000002726,AOC1,1,1,2,0,1,1,1,0,0,0.014,0,0,0.018,0,0,0,0,0,0,0,0
27,ENSG00000143322,ABL2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ENSG00000175164,ABO,2,1,1,0,1,1,1,0,0,0.0584206647101311,0,0,0.0396692108843538,0,0.0460121111111111,0,0.06,0,0,0.0448,0
29,ENSG00000159842,ABR,1,1,2,1,0,1,1,0,0,0,0,0,0.0323,0,0,0,0.0348,0,0,0.021425,0
30,ENSG00000060971,ACAA1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ENSG00000278540,ACACA,1,1,1,1,1,1,1,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0
32,ENSG00000076555,ACACB,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ENSG00000115361,ACADL,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0
