ENSEMBL_GENE_ID,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
ENSG00000000003,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000005,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000457,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000460,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000938,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0152,0
ENSG00000000971,1,1,1,0,1,1,1,0,0,0.1323,0,0,0.058755556,0,0,0,0,0,0,0,0
ENSG00000001036,1,1,1,0,1,1,1,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001084,2,1,2,1,1,1,1,1,0,0.06675841,0,0,0.0144,0,0,0,0,0,0,0.0212,0
ENSG00000001167,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001460,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001461,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001497,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001561,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001617,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0
ENSG00000001626,2,1,1,0,1,1,1,0,0,0.0144,0,0,0.038406,0,0,0,0,0,0,0,0
ENSG00000001629,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
ENSG00000001630,1,1,1,1,1,1,0,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0
ENSG00000001631,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002016,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002330,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002549,1,1,1,0,1,1,1,0,0,0.0432,0,0,0.0132,0,0,0,0,0,0,0.0268,0
ENSG00000002587,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002726,1,1,2,0,1,1,1,0,0,0.014,0,0,0.018,0,0,0,0,0,0,0,0
ENSG00000002745,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,2,1,1,0,1,1,1,0,0,0.036779109,0,0,0,0,0.0458,0,0,0,0,0,0
ENSG00000002834,2,1,1,0,0,1,1,0,0,0.0298,0,0,0,0,0.017,0,0,0,0,0.0166,0
ENSG00000002919,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002933,0,1,1,0,0,1,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,2,1,1,0,1,1,1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
ENSG00000003096,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003137,2,1,1,1,1,1,1,0,0,0.0144,0,0,0.0148,0,0,0,0,0,0,0,0
ENSG00000003147,1,2,2,0,0,1,1,0,0,0,0,0,0.0124,0,0,0,0,0,0,0.014,0
ENSG00000003249,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003393,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003400,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003402,1,1,1,0,1,1,1,0,0,0.026333333,0,0,0.034,0,0.033,0,0,0,0,0,0
ENSG00000003436,2,1,1,0,1,1,1,0,0,0.037355556,0,0,0.030700299,0,0.014,0,0.036180556,0,0,0.113,0
ENSG00000003509,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003756,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003987,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003989,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004059,0,1,1,1,1,1,0,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004139,1,1,2,1,0,1,1,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0
ENSG00000004142,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004399,0,1,2,1,0,1,1,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004455,1,1,1,1,1,1,1,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004468,2,1,2,0,1,1,1,0,0,0.0048,0,0,0.069644864,0,0,0,0,0,0,0.077959382,0
ENSG00000004478,1,1,2,0,1,1,1,0,0,0.012,0,0,0.077059349,0,0,0,0,0,0,0,0
ENSG00000004487,1,1,2,1,0,1,1,0,0,0,0,0,0.040227,0,0,0,0,0,0,0,0
ENSG00000004534,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004660,1,1,1,1,2,1,1,0,0,0.0156,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004700,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004766,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004776,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004777,1,1,1,1,0,1,0,1,0,0.1088,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004779,2,1,1,0,2,1,1,0,1,0,0,1,0.037776667,1,0.012,0,0,0,0,0,0
ENSG00000004799,1,1,1,1,0,1,0,0,0,0,0,0,0.0076,0,0,0,0,0,0,0,0
ENSG00000004809,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004838,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004846,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004848,2,1,2,0,0,1,1,0,0,0.0144,0,0,0,0,0,0,0,0.272222222,0,0.058016711,0
ENSG00000004864,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233075
ENSG00000004866,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.026244444,0
ENSG00000004897,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004939,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004948,1,1,1,1,2,1,1,0,0,0.039999433,0,0,0.094311136,0,0,0,0,0,0,0.025,0
ENSG00000004961,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0
ENSG00000004975,2,2,1,0,1,1,0,0,0,0.0144,0,0,0.0144,0,0.0144,0,0,0,0,0,0
ENSG00000005001,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005007,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0
ENSG00000005020,1,1,1,1,0,1,1,0,0,0.069888622,0,0,0.032301452,0,0.027020898,0,0,0,0,0,0
ENSG00000005022,0,2,1,0,1,1,0,0,0,0.0084,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005059,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005073,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005075,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005100,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005102,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005108,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005156,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005175,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005187,1,1,1,0,1,1,1,0,0,0,0,0,0.043956301,0,0,0,0,0,0,0.016,0
ENSG00000005189,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005194,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005206,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005238,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005243,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005249,1,1,1,1,1,1,1,0,0,0.016,0,0,0,0,0,0,0,0.25,0,0,0
ENSG00000005302,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005339,2,2,1,1,1,1,1,0,0,0.0348,0,0,0.0314,0,0.0292,0,0,0.2,0,0.0335,0.233075
ENSG00000005379,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005381,2,1,1,0,1,1,1,0,0,0.0395,0,0,0.073458369,0,0.0304,0,0,0,0,0.044,0
ENSG00000005421,2,1,1,1,0,1,0,0,0,0.05436982,0,0,0.104816289,0,0.078947111,0,0.036089889,0,0,0.046310949,0
ENSG00000005436,1,1,1,0,0,1,1,0,0,0.0144,0,0,0.0144,0,0.0144,0,0,0,0,0,0
ENSG00000005448,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005469,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005471,1,1,1,0,1,1,1,0,0,0,0,0,0.0144,0,0.0144,0,0,0,0,0,0
ENSG00000005483,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005486,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005513,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005700,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
