ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
1,A1BG,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A2M,1,2,1,0,1,1,1,0,0,0.004,0,0,0.074974449,0,0,0,0.02,0,0,0,0
9,NAT1,2,1,1,1,1,1,1,0,0,0.0288,0,0,0,0,0,0,0,0,0,0,0
10,NAT2,2,1,1,1,1,1,1,0,0,0.0592,0,0,0.0144,0,0.0144,0,0,0,0,0.0144,0
12,SERPINA3,1,1,1,1,0,1,1,0,0,0.032877078,0,0,0.018573611,0,0.0114,0,0,0,0,0,0
13,AADAC,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,AAMP,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,AANAT,2,1,2,1,1,1,1,0,0,0,0,0,0.044224111,0,0.0156,0,0.0144,0,0,0,0
16,AARS,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0
18,ABAT,2,1,2,1,2,1,1,0,0,0.0341,0,0,0.040298433,0,0,0,0.012,0,0,0.045844444,0
19,ABCA1,2,1,1,1,1,1,1,0,0,0.0456,0,0,0.0144,0,0,0,0,0,0,0,0
20,ABCA2,1,1,1,1,1,1,1,0,0,0.0148,0,0,0,0,0,0,0,0.2,0,0,0
21,ABCA3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ABCB7,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ABCF1,1,1,1,1,0,1,1,0,0,0.0168,0,0,0,0,0,0,0,0,0,0,0
24,ABCA4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
25,ABL1,2,2,2,1,2,1,1,1,0,0,0,0,0.056888889,0,0,0,0,0,0,0,0
26,AOC1,1,1,2,0,1,1,1,0,0,0.014,0,0,0.018,0,0,0,0,0,0,0,0
27,ABL2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ABO,2,1,1,0,1,1,1,0,0,0.058420665,0,0,0.039669211,0,0.046012111,0,0.06,0,0,0.0448,0
29,ABR,1,1,2,1,0,1,1,0,0,0,0,0,0.0323,0,0,0,0.0348,0,0,0.021425,0
30,ACAA1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ACACA,1,1,1,1,1,1,1,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0
32,ACACB,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ACADL,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0
34,ACADM,1,1,1,1,1,1,1,0,0,0,0,0,0.014,0,0,0,0,0,0,0.0128,0
35,ACADS,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ACADSB,1,1,1,0,1,1,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0.0224,0
37,ACADVL,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,ACAT1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,ACAT2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ASIC2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0.0324,0,0,0,0,0.0144,0
41,ASIC1,1,1,2,1,1,1,0,0,0,0,0,0,0.0144,0,0,0,0,0,0,0,0
43,ACHE,1,1,2,1,2,1,1,0,1,0.064110569,0,1,0.055034451,1,0.046476,1,0.019333333,0,0.75,0.022164889,0.233075
47,ACLY,2,1,1,1,1,1,1,0,0,0,0,0,0.021748444,0,0,0,0.03,0,0,0,0
48,ACO1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ACR,0,1,1,0,0,1,0,0,0,0,0,0,0.070393763,0,0,0,0,0,0,0,0
50,ACO2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ACOX1,1,1,1,0,1,1,1,0,0,0,0,0,0.0255,0,0,0,0,0,0,0,0
52,ACP1,2,1,1,1,0,1,1,0,0,0.0422,0,0,0.0152,0,0.026,0,0,0,0,0,0
53,ACP2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,ACP5,1,1,1,1,1,1,0,0,0,0,0,0,0.020233333,0,0,0,0,0,0,0,0
55,ACPP,1,1,1,0,0,1,1,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0
56,ACRV1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ACTA1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ACTA2,1,1,1,0,1,1,1,1,0,0.012,0,0,0.0144,0,0,0,0,0,0,0,0
60,ACTB,1,2,2,1,1,1,1,0,0,0.030488925,0,0,0.0148,0,0.0289,0,0,0,0,0,0
70,ACTC1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,ACTG1,1,1,1,1,1,1,1,0,0,0,0,0,0.024355556,0,0,0,0,0,0,0,0
72,ACTG2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,ACTN4,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,ACTL6A,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,ACTN1,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ACTN2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ACTN3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ACVR1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ACVR1B,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,ACVR2A,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ACVR2B,1,1,1,1,1,1,1,0,0,0,0,0,0.0276,0,0,0,0,0,0,0,0
94,ACVRL1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ACY1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ACYP1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
